Topic/Theme,Key Points,Supporting Evidence,Entities,Timeline/Context,Impact/Reasoning
"Economic Reform (Operation Vulindlela)","Accelerating economic reform, opening investment and competition.","Through Operation Vulindlela, we have made significant progress in accelerating economic reform and opening the way for investment and competition.","Operation Vulindlela","Ongoing","Foster economic growth and recovery."
"Infrastructure Investment","Investing in roads, bridges, rail lines, ports, dams, wind/solar farms.","We are investing across our country in roads, bridges, rail lines, ports, dams, wind and solar farms.","Government of South Africa","Ongoing","Strengthen national infrastructure."
"Job Creation (Employment Stimulus)","Created over 2.5 million opportunities, mainly for youth and women.","We have created over 2.5 million opportunities through the Presidential Employment Stimulus, mainly for young people and women.","Presidential Employment Stimulus, EPWP, CWP","Past/Ongoing","Reducing unemployment and poverty."
"Social Protection (SRD Grant)","Expanded social protection to reduce food poverty.","By expanding our social protection system through the Social Relief of Distress (SRD) Grant, we have reduced the number of people living in food poverty.","SRD Grant","Ongoing","Mitigate hunger and poverty."
"Anti-Corruption & Institutional Rebuilding","Strengthening anti-corruption laws, rebuilding SARS and Investigating Directorate.","We are strengthening our anti-corruption laws., The work we have done to rebuild key institutions from state capture is showing results.","SARS, Investigating Directorate Against Corruption, FATF","Ongoing","Ensuring ethical governance and rule of law."
"Organised Crime (General Focus)","Stepping up the fight using technology, intelligence, and integrated law enforcement.","Our primary focus this year is stepping up the fight against organised crime and criminal syndicates using technology, intelligence and integrated law enforcement.","Government of National Unity","This year","Addressing the immediate threat to democracy and economy."
"Organised Crime (Gang Violence & Illegal Mining)","Deploying SANDF to support police in Western Cape and Gauteng; tactical plan within days.","I am deploying the South African National Defence Force (SANDF) to support the police..., I have directed the Minister of Police and the SANDF to develop a tactical plan where our security forces should be deployed within the next few days in the Western Cape and Gauteng...","SANDF, Minister of Police, SAPS, Western Cape, Gauteng","Next few days","Dismantle criminal networks and stop gang violence."
"Gun Crime Control","Streamlining firearm legislation and increasing enforcement of gun laws.","We are going to tackle gun crime by streamlining legislation and regulations on licencing, possessing and trading in firearms and ammunition.","Government of South Africa","This year","Reduce violent crime and illegal firearm use."
"Police Capacity Building","Recruitment of 5,500 additional police officers this year.","We are putting more boots on the ground through the recruitment this year of 5 500 additional police officers...","SAPS","This year","Strengthening law enforcement visibility and response."
"Illicit Economy Disruption","Establishing a National Illicit Economy Disruption Programme targeting high-risk sectors (tobacco, fuel, alcohol).","We are establishing a National Illicit Economy Disruption Programme... will target high-risk sectors like tobacco, fuel, alcohol and other counterfeit products.","State agencies, private sector","This year","Protecting jobs and industry from counterfeit goods."
"Police & Criminal Justice Reform","Vetting senior SAPS management, lifestyle audits, and a new criminal justice reform initiative in The Presidency.","State Security Agency will re-vet the Senior Management of the SAPS... we will use a similar approach [to Operation Vulindlela] to establish a hard-hitting new criminal justice reform initiative.","SAPS, State Security Agency, The Presidency, Madlanga Commission","Not specified","Ensure an ethical, responsive police service and reform the criminal justice system."
"Whistle-blower Protection","Introducing the Whistle-Blower Protection Bill to criminalize retaliation and provide support.","The Whistle-Blower Protection Bill will be introduced in Parliament. Among other things, this will criminalise retaliation and provide psychosocial, legal and financial support.","Parliament","Not specified","Protect those who speak out against corruption."
"Procurement Reform","Restructuring procurement to end corruption using technology and new regulations.","Measures will include the use of technology and the finalisation of new Public Procurement Act regulations by mid-2026.","AGSA","mid-2026","Eliminate corruption at its source in the procurement system."
"Water Security & Crisis Management","Elevating water response to a National Water Crisis Committee chaired by the President; R156 billion committed to infrastructure.","we will now elevate our response to the water crisis to a National Water Crisis Committee, which I will chair., We have committed more than R156 billion... over the next three years.","President, National Water Resource Infrastructure Agency","Immediate / Next 3 years","Address systemic failures and ensure long-term water security."
"Water Accountability","Introducing the Water Services Amendment Bill to hold providers accountable; criminal charges against failing officials.","The Water Services Amendment Bill will enable us to hold water service providers accountable..., move to lay charges against Municipal Managers in their personal capacity.","Municipal Managers","Immediate","Holding officials responsible for service delivery failures."
"Local Government Reform","Finalising a revised White Paper on Local Government with a differentiated approach to powers; independent official appointments.","in the coming months finalise a revised White Paper on Local Government., senior officials... appointed through an independent process free from political interference.","Traditional and Khoi-San leadership institutions","Coming months","Re-imagining local government for better service delivery."
"Economic Growth Strategy (MTDP)","Implementing a comprehensive plan focused on digital/green economy and public infrastructure.","Cabinet has approved a comprehensive implementation plan to drive growth and inclusion.","Cabinet","Not specified","Revive growth and create quality jobs."
